   team_id    |                     name                     | sport_name |                             logo                             
--------------+----------------------------------------------+------------+--------------------------------------------------------------
 331          | Brighton & Hove Albion                       | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/331.png
 337          | Brentford                                    | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/337.png
 349          | AFC Bournemouth                              | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/349.png
 357          | Leeds United                                 | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/357.png
 359          | Arsenal                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/359.png
 360          | Manchester United                            | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/360.png
 361          | Newcastle United                             | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/361.png
 362          | Aston Villa                                  | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/362.png
 363          | Chelsea                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/363.png
 364          | Liverpool                                    | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/364.png
 366          | Sunderland                                   | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/366.png
 367          | Tottenham Hotspur                            | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/367.png
 368          | Everton                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/368.png
 370          | Fulham                                       | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/370.png
 371          | West Ham United                              | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/371.png
 379          | Burnley                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/379.png
 380          | Wolverhampton Wanderers                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/380.png
 382          | Manchester City                              | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/382.png
 384          | Crystal Palace                               | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/384.png
 393          | Nottingham Forest                            | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/393.png
 EPL-331      | Brighton & Hove Albion                       | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/331.png
 EPL-337      | Brentford                                    | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/337.png
 EPL-349      | AFC Bournemouth                              | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/349.png
 EPL-357      | Leeds United                                 | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/357.png
 EPL-359      | Arsenal                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/359.png
 EPL-360      | Manchester United                            | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/360.png
 EPL-361      | Newcastle United                             | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/361.png
 EPL-362      | Aston Villa                                  | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/362.png
 EPL-363      | Chelsea                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/363.png
 EPL-364      | Liverpool                                    | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/364.png
 EPL-366      | Sunderland                                   | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/366.png
 EPL-367      | Tottenham Hotspur                            | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/367.png
 EPL-368      | Everton                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/368.png
 EPL-370      | Fulham                                       | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/370.png
 EPL-371      | West Ham United                              | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/371.png
 EPL-379      | Burnley                                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/379.png
 EPL-380      | Wolverhampton Wanderers                      | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/380.png
 EPL-382      | Manchester City                              | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/382.png
 EPL-384      | Crystal Palace                               | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/384.png
 EPL-393      | Nottingham Forest                            | EPL        | https://a.espncdn.com/i/teamlogos/soccer/500/393.png
 1            | Baltimore Orioles                            | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/bal.png
 10           | New York Yankees                             | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/nyy.png
 11           | Athletics                                    | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/ath.png
 12           | Seattle Mariners                             | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/sea.png
 13           | Texas Rangers                                | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/tex.png
 14           | Toronto Blue Jays                            | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/tor.png
 15           | Atlanta Braves                               | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/atl.png
 16           | Chicago Cubs                                 | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/chc.png
 17           | Cincinnati Reds                              | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/cin.png
 18           | Houston Astros                               | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/hou.png
 19           | Los Angeles Dodgers                          | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/lad.png
 2            | Boston Red Sox                               | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/bos.png
 20           | Washington Nationals                         | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/wsh.png
 21           | New York Mets                                | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/nym.png
 22           | Philadelphia Phillies                        | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/phi.png
 23           | Pittsburgh Pirates                           | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/pit.png
 24           | St. Louis Cardinals                          | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/stl.png
 25           | San Diego Padres                             | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/sd.png
 26           | San Francisco Giants                         | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/sf.png
 27           | Colorado Rockies                             | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/col.png
 28           | Miami Marlins                                | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/mia.png
 29           | Arizona Diamondbacks                         | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/ari.png
 3            | Los Angeles Angels                           | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/laa.png
 30           | Tampa Bay Rays                               | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/tb.png
 4            | Chicago White Sox                            | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/chw.png
 5            | Cleveland Guardians                          | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/cle.png
 6            | Detroit Tigers                               | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/det.png
 7            | Kansas City Royals                           | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/kc.png
 8            | Milwaukee Brewers                            | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/mil.png
 9            | Minnesota Twins                              | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/scoreboard/min.png
 MLB_1        | Baltimore Orioles                            | MLB        | https://sportslogos.com/default_numeric.png
 MLB_10       | New York Yankees                             | MLB        | https://sportslogos.com/default_numeric.png
 MLB_11       | Athletics                                    | MLB        | https://sportslogos.com/default_numeric.png
 MLB_12       | Seattle Mariners                             | MLB        | https://sportslogos.com/default_numeric.png
 MLB_13       | Texas Rangers                                | MLB        | https://sportslogos.com/default_numeric.png
 MLB_14       | Toronto Blue Jays                            | MLB        | https://sportslogos.com/default_numeric.png
 MLB_15       | Atlanta Braves                               | MLB        | https://sportslogos.com/default_numeric.png
 MLB_16       | Chicago Cubs                                 | MLB        | https://sportslogos.com/default_numeric.png
 MLB_17       | Cincinnati Reds                              | MLB        | https://sportslogos.com/default_numeric.png
 MLB_18       | Houston Astros                               | MLB        | https://sportslogos.com/default_numeric.png
 MLB_19       | Los Angeles Dodgers                          | MLB        | https://sportslogos.com/default_numeric.png
 MLB_2        | Boston Red Sox                               | MLB        | https://sportslogos.com/default_numeric.png
 MLB_20       | Washington Nationals                         | MLB        | https://sportslogos.com/default_numeric.png
 MLB_21       | New York Mets                                | MLB        | https://sportslogos.com/default_numeric.png
 MLB_22       | Philadelphia Phillies                        | MLB        | https://sportslogos.com/default_numeric.png
 MLB_23       | Pittsburgh Pirates                           | MLB        | https://sportslogos.com/default_numeric.png
 MLB_24       | St. Louis Cardinals                          | MLB        | https://sportslogos.com/default_numeric.png
 MLB_25       | San Diego Padres                             | MLB        | https://sportslogos.com/default_numeric.png
 MLB_26       | San Francisco Giants                         | MLB        | https://sportslogos.com/default_numeric.png
 MLB_27       | Colorado Rockies                             | MLB        | https://sportslogos.com/default_numeric.png
 MLB_28       | Miami Marlins                                | MLB        | https://sportslogos.com/default_numeric.png
 MLB_29       | Arizona Diamondbacks                         | MLB        | https://sportslogos.com/default_numeric.png
 MLB_3        | Los Angeles Angels                           | MLB        | https://sportslogos.com/default_numeric.png
 MLB_30       | Tampa Bay Rays                               | MLB        | https://sportslogos.com/default_numeric.png
 MLB_4        | Chicago White Sox                            | MLB        | https://sportslogos.com/default_numeric.png
 MLB_5        | Cleveland Guardians                          | MLB        | https://sportslogos.com/default_numeric.png
 MLB_6        | Detroit Tigers                               | MLB        | https://sportslogos.com/default_numeric.png
 MLB_7        | Kansas City Royals                           | MLB        | https://sportslogos.com/default_numeric.png
 MLB_8        | Milwaukee Brewers                            | MLB        | https://sportslogos.com/default_numeric.png
 MLB_9        | Minnesota Twins                              | MLB        | https://sportslogos.com/default_numeric.png
 MLB-1        | MLB Team 1                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/1.png
 MLB-10       | MLB Team 10                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/10.png
 MLB-11       | MLB Team 11                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/11.png
 MLB-12       | MLB Team 12                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/12.png
 MLB-13       | MLB Team 13                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/13.png
 MLB-14       | MLB Team 14                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/14.png
 MLB-15       | MLB Team 15                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/15.png
 MLB-16       | MLB Team 16                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/16.png
 MLB-17       | MLB Team 17                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/17.png
 MLB-18       | MLB Team 18                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/18.png
 MLB-19       | MLB Team 19                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/19.png
 MLB-2        | MLB Team 2                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/2.png
 MLB-20       | MLB Team 20                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/20.png
 MLB-21       | MLB Team 21                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/21.png
 MLB-22       | MLB Team 22                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/22.png
 MLB-23       | MLB Team 23                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/23.png
 MLB-24       | MLB Team 24                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/24.png
 MLB-25       | MLB Team 25                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/25.png
 MLB-26       | MLB Team 26                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/26.png
 MLB-27       | MLB Team 27                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/27.png
 MLB-28       | MLB Team 28                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/28.png
 MLB-29       | MLB Team 29                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/29.png
 MLB-3        | MLB Team 3                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/3.png
 MLB-30       | MLB Team 30                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/30.png
 MLB-31       | NBA Team 31                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/31.png
 MLB-32       | NBA Team 32                                  | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/32.png
 MLB-4        | MLB Team 4                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/4.png
 MLB-5        | MLB Team 5                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/5.png
 MLB-6        | MLB Team 6                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/6.png
 MLB-7        | MLB Team 7                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/7.png
 MLB-8        | MLB Team 8                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/8.png
 MLB-9        | MLB Team 9                                   | MLB        | https://a.espncdn.com/i/teamlogos/mlb/500/9.png
 111386       | World                                        | NBA        | https://sportslogos.com/default_numeric.png
 132374       | Team Stars                                   | NBA        | https://sportslogos.com/default_numeric.png
 132375       | Team Stripes                                 | NBA        | https://sportslogos.com/default_numeric.png
 NBA_1        | Atlanta Hawks                                | NBA        | https://sportslogos.com/default_numeric.png
 NBA_10       | Houston Rockets                              | NBA        | https://sportslogos.com/default_numeric.png
 NBA_11       | Indiana Pacers                               | NBA        | https://sportslogos.com/default_numeric.png
 NBA_12       | LA Clippers                                  | NBA        | https://sportslogos.com/default_numeric.png
 NBA_13       | Los Angeles Lakers                           | NBA        | https://sportslogos.com/default_numeric.png
 NBA_14       | Miami Heat                                   | NBA        | https://sportslogos.com/default_numeric.png
 NBA_15       | Milwaukee Bucks                              | NBA        | https://sportslogos.com/default_numeric.png
 NBA_16       | Minnesota Timberwolves                       | NBA        | https://sportslogos.com/default_numeric.png
 NBA_18       | New York Knicks                              | NBA        | https://sportslogos.com/default_numeric.png
 NBA_19       | Orlando Magic                                | NBA        | https://sportslogos.com/default_numeric.png
 NBA_2        | Boston Celtics                               | NBA        | https://sportslogos.com/default_numeric.png
 NBA_20       | Philadelphia 76ers                           | NBA        | https://sportslogos.com/default_numeric.png
 NBA_21       | Phoenix Suns                                 | NBA        | https://sportslogos.com/default_numeric.png
 NBA_22       | Portland Trail Blazers                       | NBA        | https://sportslogos.com/default_numeric.png
 NBA_23       | Sacramento Kings                             | NBA        | https://sportslogos.com/default_numeric.png
 NBA_24       | San Antonio Spurs                            | NBA        | https://sportslogos.com/default_numeric.png
 NBA_25       | Oklahoma City Thunder                        | NBA        | https://sportslogos.com/default_numeric.png
 NBA_26       | Utah Jazz                                    | NBA        | https://sportslogos.com/default_numeric.png
 NBA_27       | Washington Wizards                           | NBA        | https://sportslogos.com/default_numeric.png
 NBA_28       | Toronto Raptors                              | NBA        | https://sportslogos.com/default_numeric.png
 NBA_29       | Memphis Grizzlies                            | NBA        | https://sportslogos.com/default_numeric.png
 NBA_3        | New Orleans Pelicans                         | NBA        | https://sportslogos.com/default_numeric.png
 NBA_30       | Charlotte Hornets                            | NBA        | https://sportslogos.com/default_numeric.png
 NBA_4        | Chicago Bulls                                | NBA        | https://sportslogos.com/default_numeric.png
 NBA_5        | Cleveland Cavaliers                          | NBA        | https://sportslogos.com/default_numeric.png
 NBA_6        | Dallas Mavericks                             | NBA        | https://sportslogos.com/default_numeric.png
 NBA_7        | Denver Nuggets                               | NBA        | https://sportslogos.com/default_numeric.png
 NBA_8        | Detroit Pistons                              | NBA        | https://sportslogos.com/default_numeric.png
 NBA_9        | Golden State Warriors                        | NBA        | https://sportslogos.com/default_numeric.png
 NBA-1        | Atlanta Hawks                                | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/atl.png
 NBA-10       | Houston Rockets                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/hou.png
 NBA-11       | Indiana Pacers                               | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/ind.png
 NBA-111124   | NBA Team 111124                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/111124.png
 NBA-111136   | NBA Team 111136                              | NBA        | https://sportslogos.com/nba/111136.png
 NBA-111386   | NBA Team 111386                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/111386.png
 NBA-12       | LA Clippers                                  | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/lac.png
 NBA-126120   | NBA Team 126120                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/126120.png
 NBA-13       | Los Angeles Lakers                           | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/lal.png
 NBA-131570   | NBA Team 131570                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/131570.png
 NBA-132374   | NBA Team 132374                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/132374.png
 NBA-132375   | NBA Team 132375                              | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/132375.png
 NBA-14       | Miami Heat                                   | NBA        | https://a.espncdn.com/i/teamlogos/nba/500/mia.png
