   team_id    |                     name                     | sport_name 
--------------+----------------------------------------------+------------
 NBA-26       | Utah Jazz                                    | NBA
 NBA-27       | Washington Wizards                           | NBA
 NCAAB-44     | American University Eagles                   | NCAAB
 NCAAB-9      | Arizona State Sun Devils                     | NCAAB
 NCAAB-12     | Arizona Wildcats                             | NCAAB
 NCAAB-8      | Arkansas Razorbacks                          | NCAAB
 NCAAB-2      | Auburn Tigers                                | NCAAB
 NCAAB-91     | Bellarmine Knights                           | NCAAB
 NCAAB-68     | Boise State Broncos                          | NCAAB
 NCAAB-103    | Boston College Eagles                        | NCAAB
 NCAAB-104    | Boston University Terriers                   | NCAAB
 NCAAB-189    | Bowling Green Falcons                        | NCAAB
 NCAAB-71     | Bradley Braves                               | NCAAB
 NCAAB-13     | Cal Poly Mustangs                            | NCAAB
 NCAAB-25     | California Golden Bears                      | NCAAB
 NCAAB-38     | Colorado Buffaloes                           | NCAAB
 NCAAB-36     | Colorado State Rams                          | NCAAB
 NCAAB-171    | Columbia Lions                               | NCAAB
 NCAAB-172    | Cornell Big Red                              | NCAAB
 NCAAB-156    | Creighton Bluejays                           | NCAAB
 NCAAB-159    | Dartmouth Big Green                          | NCAAB
 NCAAB-48     | Delaware Blue Hens                           | NCAAB
 NCAAB-150    | Duke Blue Devils                             | NCAAB
 NCAAB-151    | East Carolina Pirates                        | NCAAB
 NCAAB-161    | Fairleigh Dickinson Knights                  | NCAAB
 NCAAB-50     | Florida A&M Rattlers                         | NCAAB
 NCAAB-57     | Florida Gators                               | NCAAB
 NCAAB-52     | Florida State Seminoles                      | NCAAB
 NCAAB-45     | George Washington Revolutionaries            | NCAAB
 NCAAB-46     | Georgetown Hoyas                             | NCAAB
 NCAAB-61     | Georgia Bulldogs                             | NCAAB
 NCAAB-59     | Georgia Tech Yellow Jackets                  | NCAAB
 NCAAB-108    | Harvard Crimson                              | NCAAB
 NCAAB-62     | Hawai'i Rainbow Warriors                     | NCAAB
 NCAAB-107    | Holy Cross Crusaders                         | NCAAB
 NCAAB-47     | Howard Bison                                 | NCAAB
 NCAAB-85     | IU Indianapolis Jaguars                      | NCAAB
 NCAAB-70     | Idaho Vandals                                | NCAAB
 NCAAB-84     | Indiana Hoosiers                             | NCAAB
 NCAAB-66     | Iowa State Cyclones                          | NCAAB
 NCAAB-55     | Jacksonville State Gamecocks                 | NCAAB
 NCAAB-140    | Kansas City Roos                             | NCAAB
 NCAAB-96     | Kentucky Wildcats                            | NCAAB
 NCAAB-99     | LSU Tigers                                   | NCAAB
 NCAAB-97     | Louisville Cardinals                         | NCAAB
 NCAAB-120    | Maryland Terrapins                           | NCAAB
 NCAAB-113    | Massachusetts Minutemen                      | NCAAB
 NCAAB-193    | Miami (OH) RedHawks                          | NCAAB
 NCAAB-127    | Michigan State Spartans                      | NCAAB
 NCAAB-130    | Michigan Wolverines                          | NCAAB
 NCAAB-135    | Minnesota Golden Gophers                     | NCAAB
 NCAAB-142    | Missouri Tigers                              | NCAAB
 NCAAB-149    | Montana Grizzlies                            | NCAAB
 NCAAB-147    | Montana State Bobcats                        | NCAAB
 NCAAB-116    | Mount St. Mary's Mountaineers                | NCAAB
 NCAAB-93     | Murray State Racers                          | NCAAB
 NCAAB-152    | NC State Wolfpack                            | NCAAB
 NCAAB-158    | Nebraska Cornhuskers                         | NCAAB
 NCAAB-160    | New Hampshire Wildcats                       | NCAAB
 NCAAB-167    | New Mexico Lobos                             | NCAAB
 NCAAB-166    | New Mexico State Aggies                      | NCAAB
 NCAAB-153    | North Carolina Tar Heels                     | NCAAB
 NCAAB-155    | North Dakota Fighting Hawks                  | NCAAB
 NCAAB-111    | Northeastern Huskies                         | NCAAB
 NCAAB-94     | Northern Kentucky Norse                      | NCAAB
 NCAAB-77     | Northwestern Wildcats                        | NCAAB
 NCAAB-87     | Notre Dame Fighting Irish                    | NCAAB
 NCAAB-195    | Ohio Bobcats                                 | NCAAB
 NCAAB-194    | Ohio State Buckeyes                          | NCAAB
 NCAAB-201    | Oklahoma Sooners                             | NCAAB
 NCAAB-197    | Oklahoma State Cowboys                       | NCAAB
 NCAAB-145    | Ole Miss Rebels                              | NCAAB
 NCAAB-198    | Oral Roberts Golden Eagles                   | NCAAB
 NCAAB-204    | Oregon State Beavers                         | NCAAB
 NCAAB-213    | Penn State Nittany Lions                     | NCAAB
 NCAAB-219    | Pennsylvania Quakers                         | NCAAB
 NCAAB-163    | Princeton Tigers                             | NCAAB
 NCAAB-164    | Rutgers Scarlet Knights                      | NCAAB
 NCAAB-16     | Sacramento State Hornets                     | NCAAB
 NCAAB-139    | Saint Louis Billikens                        | NCAAB
 NCAAB-21     | San Diego State Aztecs                       | NCAAB
 NCAAB-23     | San José State Spartans                      | NCAAB
 NCAAB-6      | South Alabama Jaguars                        | NCAAB
 NCAAB-58     | South Florida Bulls                          | NCAAB
 NCAAB-79     | Southern Illinois Salukis                    | NCAAB
 NCAAB-179    | St. Bonaventure Bonnies                      | NCAAB
 NCAAB-24     | Stanford Cardinal                            | NCAAB
 NCAAB-56     | Stetson Hatters                              | NCAAB
 NCAAB-183    | Syracuse Orange                              | NCAAB
 NCAAB-218    | Temple Owls                                  | NCAAB
 NCAAB-119    | Towson Tigers                                | NCAAB
 NCAAB-202    | Tulsa Golden Hurricane                       | NCAAB
 NCAAB-5      | UAB Blazers                                  | NCAAB
 NCAAB-27     | UC Riverside Highlanders                     | NCAAB
 NCAAB-28     | UC San Diego Tritons                         | NCAAB
 NCAAB-26     | UCLA Bruins                                  | NCAAB
 NCAAB-41     | UConn Huskies                                | NCAAB
 NCAAB-82     | UIC Flames                                   | NCAAB
 NCAAB-30     | USC Trojans                                  | NCAAB
 NCAAB-154    | Wake Forest Demon Deacons                    | NCAAB
 NCAAB-98     | Western Kentucky Hilltoppers                 | NCAAB
 NCAAB-43     | Yale Bulldogs                                | NCAAB
 NFL-22       | Arizona Cardinals                            | NFL
 NFL-1        | Atlanta Falcons                              | NFL
 NFL-33       | Baltimore Ravens                             | NFL
